Wavelength,1,2,3,4
nm,Counts,Counts,Counts,Counts
274.379,4827,4815,4657,4620
274.41,4731,4814,4741,4701
274.44,4820,4784,4674,4673
274.47,4704,4841,4812,4734
274.501,4673,4778,4794,4691
274.531,4696,4847,4770,4653
274.561,4703,4647,4684,4758
274.591,4713,4717,4764,4531
274.622,4690,4753,4616,4699
274.652,4832,4860,4771,4814
274.682,4830,4823,4780,4600
274.712,4851,4854,4764,4794
274.743,4786,4854,4677,4720
274.773,4810,4738,4843,4811
274.803,4823,4848,4823,4840
274.833,4758,4878,4748,4696
274.864,4762,4899,4796,4663
274.894,4938,4817,4699,4788
274.924,4984,4793,4752,4746
274.955,4880,4807,4839,4752
274.985,4920,4857,4882,4947
275.015,4856,4873,4792,4751
275.045,4899,4928,4985,4752
275.076,4920,4935,4860,4817
275.106,4964,4922,4876,4813
275.136,4984,4993,4833,4863
275.166,4847,4921,4807,4807
275.196,4925,4946,4898,4833
275.227,4936,4870,4840,4906
275.257,4879,5008,4825,4959
275.287,4948,4978,4772,6005
275.317,5045,4905,4984,4902
275.348,5132,4968,4936,4681
275.378,4937,4915,4890,4942
275.408,5068,4993,4923,5000
275.438,4907,4871,5015,5057
275.469,5021,5049,4889,4774
275.499,5149,5009,4913,4843
275.529,4943,5040,4999,4889
275.559,5017,4961,4924,4861
275.589,5126,5126,5022,4957
275.62,4974,4988,5053,4955
275.65,5086,5161,4943,4982
275.68,5207,5029,5149,5012
275.71,5199,5045,5034,5023
275.74,4908,5036,4988,5017
275.771,5278,5075,5041,4985
275.801,5122,5159,5066,5076
275.831,5127,5076,5049,5042
275.861,5143,5039,5111,5044
275.891,5221,5086,5147,5043
275.922,5089,5128,5091,5043
275.952,5219,5071,5054,5132
275.982,5190,5230,5118,5081
276.012,5131,5212,5084,5156
276.042,5205,5285,5065,5075
276.072,5239,5229,5021,5007
276.103,5303,5224,5162,5031
276.133,5244,5158,5125,5179
276.163,5237,5332,5171,5137
276.193,5368,5235,5103,5025
276.223,5399,5365,5156,5230
276.254,5379,5333,5268,5302
276.284,5297,5243,5302,5185
276.314,5198,5297,5328,5117
276.344,5347,5397,5253,5237
276.374,5309,5312,5214,5302
276.404,5462,5320,5226,5205
276.434,5472,5351,5329,5123
276.465,5471,5391,5325,5229
276.495,5390,5380,5356,5241
276.525,5380,5481,5308,5368
276.555,5331,5347,5239,5334
276.585,5425,5371,5352,5304
276.615,5451,5382,5287,5332
276.646,5521,5495,5427,5239
276.676,5470,5511,5438,5232
276.706,5420,5436,5367,5253
276.736,5440,5436,5457,5444
276.766,5483,5633,5391,5398
276.796,5417,5382,5427,5398
276.826,5444,5475,5292,5314
